time_s,trolley_x_m,support_down_m,payload_x_m,payload_down_m,chord_angle_rad,material_length_m,arc_length_m,min_axial_force_N,ale_generalized_force_norm
1.9,0.15023193035265,0.0412417608613499,0.112017083221141,2.04590761019308,-0.0190606425061198,2,2.0050300624638,49.3295720966636,0
1.92,0.151549953905226,0.0412480718801359,0.120131394394268,2.04602984293459,-0.0156705274118918,2,2.00502799150248,49.3086535828713,0
1.94,0.152852316325615,0.0412536367680925,0.128308638150719,2.04613270248202,-0.0122413628920236,2,2.00502944073255,49.3219717851323,0
1.96,0.154142836852987,0.0412581615611344,0.136536346447917,2.04621487495729,-0.00878125584305706,2,2.00503421287447,49.3701728898133,0
1.98,0.155425141566691,0.0412620558698213,0.144800476653658,2.04627266486533,-0.00529900710757847,2,2.0050388507649,49.4164035991318,0
2,0.156702428371576,0.0412657512283236,0.153086936009096,2.04630252234212,-0.00180320306137345,2,2.00504004183274,49.4281082362491,0
2.02,0.157977892866722,0.0412690586088631,0.161381279339616,2.04630346936787,0.00169741885026198,1.99999977888741,2.00503735388518,49.402607176563,0.000193439929365115
2.04,0.159254687859705,0.0412711883623048,0.169667907659773,2.04627721333572,0.0051935635327702,1.99999823995259,2.00503322673321,49.3773687985399,0.000383004180859801
2.06,0.16053627600047,0.0412714770184604,0.177931480527046,2.0462256436274,0.00867589312608644,1.99999408964,2.00502978266284,49.384701945665,0.000568731399466476
2.08,0.161826235354057,0.0412700735893243,0.186158559480587,2.04614830410177,0.0121359637590425,1.99998606070519,2.00502593688982,49.4260502331345,0.00075065526841307
2.1,0.163128027375552,0.0412679310856496,0.194336671319334,2.04604224123775,0.0155659034308589,1.99997291203704,2.00501722476006,49.4691611818787,0.000928791376302105
2.12,0.164445299519242,0.0412660828359717,0.202453650547821,2.04590435998299,0.018957932666249,1.99995342848,2.00499860305009,49.4788885787223,0.00110314942184756
2.14,0.165781702674399,0.0412648341607513,0.210496809965169,2.04573420467303,0.0223040037007064,1.9999264206563,2.00496810193494,49.4456269753973,0.00127375418462827
2.16,0.167140434638183,0.0412636217903173,0.218452470207976,2.04553454141643,0.0255957560472587,1.99989072478815,2.00492764842299,49.3993267857462,0.00144065510452693
2.18,0.168524094030244,0.0412616755506119,0.226307461215569,2.04530907522728,0.0288253472592722,1.99984520252,2.00488033088551,49.3817451016421,0.00160389488464841
2.2,0.169935064638028,0.0412588623507798,0.234048206117224,2.04505942193986,0.0319848581907016,1.99978874074074,2.00482619613199,49.4067639441109,0.00176351321876948
2.22,0.17137558326424,0.041255889922673,0.241660456178561,2.04478427241201,0.0350661677137856,1.99972025140593,2.00476118792455,49.4433415360263,0.00191952263059504
2.24,0.172848037805166,0.0412536563776293,0.249130494958747,2.04448150785262,0.0380613805548813,1.99963867136,2.0046800633098,49.4493829593701,0.00207192066465062
2.26,0.174354659067874,0.0412524016596548,0.256447133813438,2.0441511209833,0.0409639042775574,1.99954296215852,2.00458053858832,49.4132544616654,0.00222070244849538
2.28,0.175897428794654,0.041251477949606,0.263600226542181,2.04379616235498,0.043767707038503,1.99943210989037,2.00446431505029,49.3633316390074,0.00236580639919839
2.3,0.177478297999655,0.041249927983306,0.27058036212381,2.04342078676389,0.0464670863210881,1.999305125,2.00433434160659,49.3379847454101,0.00250728984108368
2.32,0.179099120778461,0.0412473164906149,0.277377578441615,2.04302743804075,0.049056141624924,1.99916104210963,2.00419119310155,49.3505165158048,0.00264509934897251
2.34,0.180761078882777,0.0412440711387675,0.283981107339817,2.04261574605542,0.0515289867006427,1.99899891984148,2.00403170419895,49.3800620896767,0.00277921591723335
2.36,0.182464807142695,0.04124101057111,0.290380853562075,2.0421840559602,0.0538803921545369,1.99881784064,2.00385121603102,49.390693178748,0.0029098631566216
2.38,0.184210551689481,0.0412385524284655,0.296566623702003,2.04173221086912,0.0561052295422326,1.99861691059407,2.00364679373652,49.3620506212622,0.00303710266249884
2.4,0.185998294677109,0.0412363075291774,0.302527917997817,2.04126304573048,0.0581982370955663,1.99839525925926,2.0034191701757,49.3076166218032,0.00316115550750721
2.42,0.187828127685617,0.041233421842307,0.308255695336854,2.04078110926311,0.0601547409487193,1.99815203948,2.00317140069891,49.268500756563,0.00328198360109789
2.44,0.189699858181339,0.0412294153776205,0.31374315411385,2.04028974211013,0.0619713470715621,1.99788642721185,2.00290538779111,49.2712857223943,0.00339916795635117
2.46,0.191613144264329,0.0412247083555445,0.318984443554538,2.03978916344579,0.0636453182204653,1.9975976213437,2.00261920653623,49.3057921268036,0.00351254503359202
2.48,0.193567655898685,0.0412203319919146,0.323974482152295,2.0392773004625,0.0651743833954379,1.99728484352,2.0023080756667,49.3294243733811,0.00362191977138116
2.5,0.195562865497208,0.0412170829595618,0.328707356634061,2.03875280260104,0.0665559245951312,1.99694733796296,2.00196814917988,49.3135739046657,0.0037276486831828
2.52,0.197597497528793,0.0412149206134968,0.333177417658727,2.03821722206889,0.0677876962772947,1.99658437129481,2.00159946611194,49.2662553887691,0.00383026622195629
2.54,0.199669741244841,0.0412131307310523,0.337379742229839,2.03767440654513,0.068867963339963,1.99619523236,2.00120534588343,49.2278519611489,0.00393008064518805
2.56,0.201777443002075,0.0412111390496971,0.341309381775355,2.03712763597998,0.0697951518120248,1.99577923204741,2.00078834338747,49.2274907884083,0.00402699450517411
2.58,0.203918463257684,0.0412091397508512,0.344960815641567,2.03657728278874,0.0705675067935039,1.99533570311259,2.00034736289382,49.2634118192559,0.0041206157609132
2.6,0.206090817930833,0.0412079652557977,0.34833010025964,2.03602095629066,0.0711840916056292,1.994864,1.99987822512662,49.3008809459994,0.00421075799142215
2.62,0.208292365991151,0.0412083573411699,0.351415508827774,2.03545600436041,0.071645151088136,1.99436349866519,1.99937715271733,49.3092286330121,0.00429734232575274
2.64,0.210520812842487,0.0412103115036977,0.354216585980102,2.03488190348859,0.0719515270303772,1.99383359639704,1.9988434709963,49.2842095451795,0.00438065865485253
2.66,0.212773962678125,0.0412130724784875,0.356733888198097,2.03430033540506,0.0721043965388899,1.99327371164,1.99827959375887,49.2583716713479,0.00446092596357695
2.68,0.215049458352925,0.0412158034330846,0.358967077887952,2.03371314240151,0.0721045483170786,1.9926832838163,1.99768816631631,49.2636494992871,0.00453872111514676
2.7,0.217344392619924,0.0412182948999391,0.360915796382245,2.03311991630691,0.0719531266984341,1.99206177314815,1.99706914932887,49.3051982570147,0.00461402781288317
2.72,0.219655653384084,0.0412210411692465,0.3625801827077,2.03251758000999,0.0716517367641243,1.99140866048,1.99641943692219,49.354418331129,0.0046857929969561
2.74,0.221979859138287,0.0412246908520197,0.363960079495018,2.03190236247192,0.0712019870340183,1.99072344710074,1.99573497733445,49.3785985014439,0.00475408628698406
2.76,0.224313847964127,0.0412292967154113,0.36505526393055,2.03127236048497,0.0706052400352673,1.99000565456593,1.99501425892174,49.3681947028346,0.00481895289792531
